nm'	wfl'	nmqm	bj'	bad0	zh	ww0	adrg	adrs	wohng	wohns	badkach	fenster	kueche	mvdauer	bjkat	wflkat	rooms
693.29	50	13.8658	1971.5	0	1	0	0	0	0	0	0	0	0	2	4	1	1
736.6	70	10.522857	1971.5	0	1	0	0	0	0	0	0	0	0	26	4	2	3
732.23	50	14.6446	1971.5	0	1	0	0	0	0	0	0	0	0	1	4	1	1
1295.14	55	23.548	1893	0	1	0	0	0	0	0	0	0	0	0	1	2	3
394.97	46	8.586304	1957	0	0	1	0	0	0	0	0	0	0	27	3	1	3
1285.64	94	13.677021	1971.5	0	1	0	0	0	0	0	1	0	0	2	4	3	4
476.31	28	17.011071	1967	0	1	0	0	0	0	0	0	1	1	9	4	1	1
709.57	36	19.710278	1971.5	0	1	0	0	0	0	0	0	0	1	3	4	1	1
852.74	33	25.840606	1971.5	0	1	0	0	0	0	0	0	0	0	1	4	1	1
657.44	57	11.534035	1985	0	1	0	0	0	0	0	1	0	1	9	6	2	2
1237.84	75	16.504533	1985	0	1	0	0	0	0	0	1	0	1	3	6	2	3
1212.03	83	14.602771	1985	0	1	0	0	0	0	0	1	0	1	1	6	3	3
527.54	50	10.5508	1957	0	1	0	0	0	0	0	1	0	0	4	3	1	2
1183.62	71	16.670704	1989.5	0	1	0	0	0	0	0	1	0	1	3	6	2	3
852.3	93	9.164516	1971.5	0	1	0	0	0	0	0	1	0	0	4	4	3	4
812.8	93	8.739785	1971.5	0	1	0	0	0	0	0	1	0	0	12	4	3	4
593.07	79	7.507215	1971.5	0	1	0	0	0	0	0	0	0	0	20	4	2	3
1623.63	60	27.0605	1985	0	1	0	1	0	1	0	1	0	1	1	6	2	2
2680	145	18.482759	1971.5	0	1	0	1	0	1	0	1	0	1	2	4	3	4
837.84	76	11.024211	1957	0	1	0	0	1	0	1	0	0	0	20	3	2	3
875.1	104	8.414423	1957	0	1	0	0	0	0	1	1	0	0	3	3	3	5
765.39	93	8.23	1971.5	0	1	0	0	0	0	1	1	0	0	3	4	3	4
422.82	50	8.4564	1957	0	0	0	0	0	0	0	0	0	0	9	3	1	2
414.2	50	8.284	1880	0	0	0	0	0	0	0	0	0	0	8	1	1	1
480.34	40	12.0085	1959	0	1	0	0	0	0	0	0	0	0	2	3	1	1
1454.12	74	19.65027	1957	0	1	0	0	0	0	0	0	0	0	2	3	2	3
759.2	76	9.989474	1957	0	1	0	0	0	0	0	1	0	0	0	3	2	3
